index,,Lower Salary Estimate,Higher Salary Estimate,Rating,Company,Location,State,Headquarters,"State,Country",Siz,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Count of Competitors,Machine Learning,Count of Machine Learning,
126,Data Scientist,90.00,109.00,4.7,"1904labs
",Saint Louis, MO,Saint Louis, MO,51 to 200 ,2016,Company - Private,IT Services,Information Technology,Unknown,"Slalom, Daugherty Business Solutions",4,No,,
127,Data Scientist,90.00,109.00,3.6,"XSELL Technologies
",Chicago, IL,Chicago, IL,51 to 200 ,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,None,0,No,,
128,Data Engineer,90.00,109.00,4.2,"IZEA
",Winter Park, FL,Winter Park, FL,51 to 200 ,2006,Company - Public,Advertising & Marketing,Business Services,$25 to $50 million ,"Linqia, Collective Bias",3,No,,
129,Sr. Ml/Data Scientist - Ai/Nlp/Chatbot,90.00,109.00,3.8,"Juniper Networks
",Cupertino, CA,Sunnyvale, CA,5001 to 10000 ,1996,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion ,None,0,No,,
130,Data Scientist,90.00,109.00,5,"Notion Labs
",San Francisco, CA,San Francisco, CA,1 to 50 ,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,None,0,No,,
131,Senior Data Engineer,90.00,109.00,4.9,"Lendio
",Lehi, UT,Lehi, UT,201 to 500 ,2011,Company - Private,Lending,Finance,$50 to $100 million ,None,0,No,,
132,Data Engineer,90.00,109.00,4.4,"Direct Agents
",Culver City, CA,New York, NY,51 to 200 ,2003,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million ,None,0,No,,
133,Data Scientist,90.00,109.00,3.3,"NAVEX Global
",Lake Oswego, OR,Lake Oswego, OR,1001 to 5000 ,2012,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million ,None,0,No,,
134,Machine Learning Engineer,90.00,109.00,3.2,"Triplebyte
",Remote,,San Francisco, CA,51 to 200 ,2015,Company - Private,Computer Hardware & Software,Information Technology,Unknown,None,0,Yes,,
135,Machine Learning Engineer,90.00,109.00,3.2,"Triplebyte
",Remote,,San Francisco, CA,51 to 200 ,2015,Company - Private,Computer Hardware & Software,Information Technology,Unknown,None,0,Yes,,
136,Senior Data Engineer,90.00,109.00,4.9,"Lendio
",Lehi, UT,Lehi, UT,201 to 500 ,2011,Company - Private,Lending,Finance,$50 to $100 million ,None,0,No,,
137,Data Scientist,90.00,109.00,4.2,"Upstart
",San Mateo, CA,San Mateo, CA,201 to 500 ,2012,Company - Private,Lending,Finance,Unknown,None,0,No,,
138,Data Analyst,90.00,109.00,4.5,"Envision LLC
",San Francisco, CA,Saint Louis, MO,201 to 500 ,1994,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million ,None,0,No,,
139,Data Engineer,90.00,109.00,4.8,"AppLovin
",Palo Alto, CA,Palo Alto, CA,201 to 500 ,2012,Company - Private,Video Games,Media,Unknown,None,0,No,,
140,Data Integration And Modeling Engineer,90.00,109.00,3.8,"ISO New England
",Holyoke, MA,Holyoke, MA,501 to 1000 ,1997,Nonprofit Organization,Utilities,"Oil, Gas, Energy & Utilities",Unknown,None,0,No,,
141,Tableau Data Engineer,90.00,109.00,3.7,"Relativity
",Chicago, IL,Chicago, IL,1001 to 5000 ,2001,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,None,0,No,,
142,Senior Data Scientist,90.00,109.00,3.3,"Tempo Automation
",San Francisco, CA,San Francisco, CA,51 to 200 ,2013,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$5 to $10 million ,None,0,No,,
143,Ai Data Scientist,90.00,109.00,3.3,"MITRE
",McLean, VA,Bedford, MA,5001 to 10000 ,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion ,"Battelle, General Atomics, SAIC",4,No,,
144,Machine Learning Engineer,90.00,109.00,5,"Expedition Technology, Inc.
",Herndon, VA,Dulles, VA,1 to 50 ,2013,Company - Private,Aerospace & Defense,Aerospace & Defense,$10 to $25 million ,None,0,Yes,,
145,Research Scientist Patient Preferences (Remote),90.00,109.00,3.8,"Evidera
",Bethesda, MD,Bethesda, MD,501 to 1000 ,2013,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million ,"IQVIA, ICON",2,No,,
146,Data Scientist,90.00,109.00,3.4,"Plymouth Rock Assurance
",Woodbridge, NJ,Boston, MA,1001 to 5000 ,1982,Company - Private,Insurance Carriers,Insurance,$10 to $25 million ,"Arbella Insurance, Safety Insurance",4,No,,
147,Scientist - Biomarker And Flow Cytometry,90.00,109.00,2.4,"Crown Bioscience
",San Diego, CA,San Diego, CA,501 to 1000 ,2006,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million ,None,0,No,,
148,Data Scientist,90.00,109.00,2.9,"GNS Healthcare
",Cambridge, MA,Cambridge, MA,51 to 200 ,2000,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million ,None,0,No,,
149,Analytics Manager,90.00,109.00,4.4,"OneMagnify
",Dearborn, MI,Detroit, MI,201 to 500 ,1967,Company - Private,Advertising & Marketing,Business Services,Unknown,None,0,No,,
150,Data Scientist,90.00,109.00,2.9,"SPECTRUM
",Maryland Heights, MO,Stamford, CT,10000+ ,2016,Subsidiary or Business Segment,"Cable, Internet & Telephone Providers",Telecommunications,$10+ billion ,None,0,No,,
151,Staff Scientist- Upstream Pd,90.00,109.00,2.7,"Advanced BioScience Laboratories
",Rockville, MD,Rockville, MD,201 to 500 ,1961,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million ,None,0,No,,
152,Data Engineer,90.00,109.00,4.2,"Procore Technologies
",Carpinteria, CA,Carpinteria, CA,1001 to 5000 ,2002,Company - Private,Computer Hardware & Software,Information Technology,Unknown,None,0,No,,
153,Sr Scientist - Extractables & Leachables,90.00,109.00,3.5,"Ritedose
",Columbia, SC,Columbia, SC,201 to 500 ,1995,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million ,None,0,No,,
154,Elisa Research Scientist (Cvunknown5),90.00,109.00,Unknown,CovidUnknown9 Search Partn,Hauppauge, NY,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,0,No,,
155,Sr Data Scientist,90.00,109.00,4.2,"bioMérieux
",Saint Louis, MO,Marcy-l'Etoile, France,10000+ ,1963,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion ,None,0,No,,
156,Data Scientist,101.00,165.00,4.5,"Novetta
",Herndon, VA,Mc Lean, VA,501 to 1000 ,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million ,"Leidos, CACI International, Booz Allen Hamilton",6,No,,
157,Experienced Data Scientist,101.00,165.00,4.4,"Guzman & Griffin Technologies (GGTI)
",Washington, DC,Mays Landing, NJ,1 to 50 ,1997,Company - Private,Federal Agencies,Government,Unknown,None,0,No,,
158,Machine Learning Engineer,101.00,165.00,Unknown,Radical Converge,Reston, VA,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,0,Yes,,
159,Data Scientist,101.00,165.00,3.5,"Leidos
",Fort Meade, MD,Reston, VA,10000+ ,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion ,None,0,No,,
160,Data Scientist,101.00,165.00,4.5,"Demandbase
",San Francisco, CA,San Francisco, CA,201 to 500 ,2006,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million ,"Engagio, Bombora, Terminus",3,No,,
161,Say Business Data Analyst,101.00,165.00,4.1,"Shelter Insurance
",Columbia, MO,Columbia, MO,1001 to 5000 ,1946,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion ,None,0,No,,
162,Geospatial Data Scientist,101.00,165.00,3.5,"Maxar Technologies
",Chantilly, VA,Westminster, CO,5001 to 10000 ,Unknown,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion ,None,0,No,,
163,Data Analyst,101.00,165.00,2.7,"USAC
",Washington, DC,Washington, DC,501 to 1000 ,1997,Nonprofit Organization,Telecommunications Services,Telecommunications,$25 to $50 million ,None,0,No,,
164,Computational Scientist,101.00,165.00,3.4,"General Dynamics Information Technology
",Vicksburg, MS,Fairfax, VA,10000+ ,1996,Subsidiary or Business Segment,IT Services,Information Technology,$10+ billion ,"SAIC, Leidos, Northrop Grumman",4,No,,
165,Data Scientist,101.00,165.00,4.4,"Offerpad
",Chandler, AZ,Chandler, AZ,201 to 500 ,2015,Company - Private,Real Estate,Real Estate,Unknown,None,0,No,,
166,Senior Data Analyst,101.00,165.00,4,"Autodesk
",San Francisco, CA,San Rafael, CA,5001 to 10000 ,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion ,None,0,No,,
167,Senior Data Analyst,101.00,165.00,4.2,"Autodesk
",San Francisco, CA,Herndon, VA,5001 to 10000 ,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion ,None,0,No,,
168,Data Engineer,101.00,165.00,3.5,"Magna International Inc.
",Birmingham, AL,Aurora, Canada,10000+ ,1957,Company - Public,Unknown,Unknown,$10+ billion ,"Bosch, Lear Corporation, Faurecia",4,No,,
169,Sr Data Analyst,101.00,165.00,2.3,"United BioSource
",Blue Bell, PA,Blue Bell, PA,1001 to 5000 ,2003,Other Organization,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million ,"Covance, ICON",2,No,,
170,Data Scientist,101.00,165.00,3.4,"Kelly
",Chicago, IL,Troy, MI,5001 to 10000 ,1946,Company - Public,Staffing & Outsourcing,Business Services,$5 to $10 billion ,"Adecco, ManpowerGroup, Allegis Corporation",4,No,,
171,Machine Learning Scientist,101.00,165.00,3.3,"Tempus Labs
",Redwood City, CA,Chicago, IL,501 to 1000 ,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown,None,0,Yes,,
172,Data Scientist,101.00,165.00,4.7,"C3.ai
",Redwood City, CA,Redwood City, CA,201 to 500 ,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million ,"GE Digital, Palantir Technologies, Uptake",5,No,,
173,Senior Data Scientist - Algorithms,101.00,165.00,3.9,"Quartet Health
",New York, NY,New York, NY,201 to 500 ,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,None,0,No,,
174,Data Analyst,101.00,165.00,3.3,"Midland Credit Management
",San Diego, CA,San Diego, CA,1001 to 5000 ,1953,Subsidiary or Business Segment,Banks & Credit Unions,Finance,$1 to $2 billion ,PRA Group,2,No,,
175,Senior Data & Machine Learning Scientist,101.00,165.00,3.3,"Tempus Labs
",Chicago, IL,Chicago, IL,501 to 1000 ,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown,None,0,Yes,,
176,Data Engineer,101.00,165.00,4.4,"Resurgent Capital Services
",Cincinnati, OH,Greenville, SC,201 to 500 ,1998,Company - Private,Venture Capital & Private Equity,Finance,$50 to $100 million ,None,0,No,,
177,"Data Scientist - Statistics, Early Career",56.00,97.00,3.7,"PNNL
",Richland, WA,Richland, WA,1001 to 5000 ,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion ,"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",12,No,,
178,Data Scientist,56.00,97.00,3.5,"Buckman
",Memphis, TN,Memphis, TN,1001 to 5000 ,1945,Company - Private,Chemical Manufacturing,Manufacturing,$500 million to $1 billion ,None,0,No,,
179,Machine Learning Engineer,56.00,97.00,3.6,"Buckman
",Memphis, TN,Arlington, VA,501 to 1000 ,1967,Nonprofit Organization,Federal Agencies,Government,$50 to $100 million ,None,0,Yes,,
180,Research Scientist - Patient-Centered Research (Remote),56.00,97.00,3.8,"Evidera
",Bethesda, MD,Bethesda, MD,501 to 1000 ,2013,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million ,"IQVIA, ICON",2,No,,
181,Jr. Business Data Analyst,56.00,97.00,4.7,"webfx.com
",Harrisburg, PA,Harrisburg, PA,201 to 500 ,1997,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million ,None,0,No,,
182,Sr. Data Scientist Ii,56.00,97.00,3.5,"Argo Group US
",New York, NY,Hamilton, Bermuda,1001 to 5000 ,1948,Company - Public,Insurance Carriers,Insurance,$1 to $2 billion ,None,0,No,,
183,Data Scientist,56.00,97.00,3.3,"BWX Technologies
",Oak Ridge, TN,Lynchburg, VA,5001 to 10000 ,1850,Company - Public,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion ,None,0,No,,
184,Senior Data Analyst,56.00,97.00,3.9,"Life360
",San Francisco, CA,San Francisco, CA,51 to 200 ,2008,Company - Public,Internet,Information Technology,Unknown,None,0,No,,
185,Lead Data Scientist,56.00,97.00,3.7,"MassMutual
",Boston, MA,Springfield, MA,5001 to 10000 ,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion ,None,0,No,,
186,Production Engineer - Statistics/Data Analysis,56.00,97.00,3.9,"Natera
",San Carlos, CA,San Carlos, CA,501 to 1000 ,2004,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million ,"Genomic Health, 23andMe, Illumina",4,No,,
187,Statistical Scientist,56.00,97.00,4,"Genentech
",South San Francisco, CA,South San Francisco, CA,10000+ ,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion ,None,0,No,,
188,Computational Behavioral Scientist,56.00,97.00,4.2,"Ntrepid
",Herndon, VA,Herndon, VA,201 to 500 ,2010,Company - Private,IT Services,Information Technology,$50 to $100 million ,"Bromium, FireEye, Authentic8",3,No,,
189,Principal Data Scientist - Machine Learning,56.00,97.00,3.6,"Constant Contact
",Waltham, MA,Waltham, MA,Unknown,1995,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown,"Drip, iContact, Mailchimp",3,Yes,,
190,Principal Machine Learning Scientist,56.00,97.00,4.7,"Sage Intacct
",San Francisco, CA,San Jose, CA,501 to 1000 ,1999,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,Unknown,None,0,Yes,,
191,Data Engineer,56.00,97.00,4.1,"Shape Security
",Santa Clara, CA,Mountain View, CA,51 to 200 ,2011,Company - Private,IT Services,Information Technology,Unknown,None,0,No,,
192,Principal Data Scientist,56.00,97.00,4,"AstraZeneca
",Gaithersburg, MD,Cambridge, United Kingdom,10000+ ,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion ,"Roche, GlaxoSmithKline, Novartis",3,No,,
193,Data Scientist,56.00,97.00,5,"SkillSoniq
",San Francisco, CA,Jersey City, NJ,Unknown,Unknown,Company - Public,Unknown,Unknown,Unknown,None,0,No,,
194,Senior Data Scientist - R&D Oncology,56.00,97.00,4,"AstraZeneca
",New York, NY,Cambridge, United Kingdom,10000+ ,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion ,"Roche, GlaxoSmithKline, Novartis",3,No,,
195,Data Scientist,56.00,97.00,4.3,"Joby Aviation
",San Carlos, CA,Santa Cruz, CA,51 to 200 ,Unknown,Company - Private,Unknown,Unknown,Unknown,None,0,No,,
196,"Health Plan Data Analyst, Sr",56.00,97.00,3.8,"Cook Children's Health Care System
",Fort Worth, TX,Fort Worth, TX,5001 to 10000 ,1918,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million ,"Children's Health, Texas Health Resources, Baylor Scott & White Health",10,No,,
197,"Principal Scientist/Associate Director, Quality Control And Analytical Technologies",56.00,97.00,3.8,"Rubius Therapeutics
",Smithfield, RI,Cambridge, MA,201 to 500 ,2013,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million ,None,0,No,,
198,Analytics - Business Assurance Data Analyst,56.00,97.00,4.6,"GreatAmerica Financial Services
",Cedar Rapids, IA,Cedar Rapids, IA,501 to 1000 ,1992,Company - Private,Lending,Finance,$100 to $500 million ,None,0,No,,
199,Data Scientist - Contract,79.00,106.00,4.1,"Upside Business Travel
",Remote,,Washington, DC,51 to 200 ,2015,Company - Private,Internet,Information Technology,Unknown,None,0,No,,
200,Data Scientist,79.00,106.00,3.4,"Spectrum Communications and Consulting
",Chicago, IL,Chicago, IL,51 to 200 ,1992,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million ,None,0,No,,
201,Data Scientist,79.00,106.00,4.1,"Coverent
",McLean, VA,McLean, VA,51 to 200 ,2008,Company - Private,Consulting,Business Services,$10 to $25 million ,None,0,No,,
202,Machine Learning Engineer,79.00,106.00,3.7,"Mteq
",Fort Belvoir, VA,Lorton, VA,501 to 1000 ,1954,Company - Public,Aerospace & Defense,Aerospace & Defense,$100 to $500 million ,"Harris, Fibertek",2,Yes,,
203,Data Engineer,79.00,106.00,4.4,"Rocket Lawyer
",San Francisco, CA,San Francisco, CA,51 to 200 ,2008,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million ,None,0,No,,
204,Senior Data Scientist Image Analytics,79.00,106.00,3.9,"Novartis
",Cambridge, MA,Basel, Switzerland,10000+ ,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion ,None,0,No,,
205,Data Engineer,79.00,106.00,3.6,"Alion Science & Technology
",Linthicum Heights, MD,Mc Lean, VA,1001 to 5000 ,2001,Company - Private,Research & Development,Business Services,$1 to $2 billion ,None,0,No,,
206,Data Science Instructor,79.00,106.00,4.5,"Novetta
",Herndon, VA,Mc Lean, VA,501 to 1000 ,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million ,"Leidos, CACI International, Booz Allen Hamilton",6,No,,
207,Senior Business Intelligence Analyst,79.00,106.00,3.7,"Protolabs
",Maple Plain, MN,Maple Plain, MN,1001 to 5000 ,1999,Company - Public,Miscellaneous Manufacturing,Manufacturing,$100 to $500 million ,None,0,No,,
208,In-Line Inspection Data Analyst,79.00,106.00,2.9,"Quest Integrity
",Tulsa, OK,Kent, WA,201 to 500 ,1996,Company - Public,Oil & Gas Services,"Oil, Gas, Energy & Utilities",$50 to $100 million ,None,0,No,,
209,Data Scientist - Ts/Sci Fsp Or Ci Required,79.00,106.00,5,"Phoenix Operations Group
",Annapolis Junction, MD,Woodbine, MD,1 to 50 ,2011,Company - Private,IT Services,Information Technology,$1 to $5 million ,None,0,No,,
210,Data Scientist,79.00,106.00,3.4,"Dice.com
",Newton, MA,Denver, CO,201 to 500 ,1990,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million ,"Monster Worldwide, CareerBuilder, Craigslist",4,No,,
211,Senior Data Scientist,79.00,106.00,3.5,"Maxar Technologies
",Herndon, VA,Westminster, CO,5001 to 10000 ,Unknown,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion ,None,0,No,,
212,Data Scientist,79.00,106.00,5,"Phoenix Operations Group
",Baltimore, MD,Woodbine, MD,1 to 50 ,2011,Company - Private,IT Services,Information Technology,$1 to $5 million ,None,0,No,,
213,Data Science Software Engineer,79.00,106.00,4.8,"Klaviyo
",Boston, MA,Boston, MA,201 to 500 ,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown,None,0,No,,
214,Engineer - Computer Scientist - Research Computer Scientist - Signal Processing,79.00,106.00,3.9,"Southwest Research Institute
",Oklahoma City, OK,San Antonio, TX,1001 to 5000 ,1947,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion ,"Los Alamos National Laboratory, Battelle, SRI International",7,No,,
215,Ai Ops Data Scientist,79.00,106.00,4,"AstraZeneca
",Gaithersburg, MD,Cambridge, United Kingdom,10000+ ,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion ,"Roche, GlaxoSmithKline, Novartis",3,No,,
216,"Intelligence Data Analyst, Senior",79.00,106.00,4.3,"The Buffalo Group
",Fort Belvoir, VA,Reston, VA,501 to 1000 ,2010,Company - Private,IT Services,Information Technology,$100 to $500 million ,"ManTech, Booz Allen Hamilton, Leidos",5,No,,
217,Analytics Manager,79.00,106.00,3.5,"Central California Alliance for Health
",Scotts Valley, CA,Scotts Valley, CA,501 to 1000 ,1996,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$500 million to $1 billion ,None,0,No,,
218,Data Modeler (Analytical Systems),79.00,106.00,3.7,"MassMutual
",Boston, MA,Springfield, MA,5001 to 10000 ,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion ,None,0,No,,
219,Senior Machine Learning Scientist,79.00,106.00,3.3,"Tempus Labs
",Redwood City, CA,Chicago, IL,501 to 1000 ,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown,None,0,Yes,,
220,Report Writer-Data Analyst,79.00,106.00,3.1,"Security Finance Corporation of Spartanburg
",Spartanburg, SC,Spartanburg, SC,1001 to 5000 ,1955,Company - Private,Lending,Finance,Unknown,None,0,No,,
221,Data Scientist/Machine Learning,71.00,123.00,4.3,"PulsePoint
",New York, NY,New York, NY,51 to 200 ,2011,Company - Private,Internet,Information Technology,$100 to $500 million ,"Crossix Solutions Inc., AppNexus, The Trade Desk",7,Yes,,
222,Data Scientist - Risk,71.00,123.00,4.2,"LSQ
",Orlando, FL,Orlando, FL,51 to 200 ,1996,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million ,None,0,No,,
223,Data Engineer,71.00,123.00,4.4,"Resurgent Capital Services
",Cincinnati, OH,Greenville, SC,201 to 500 ,1998,Company - Private,Venture Capital & Private Equity,Finance,$50 to $100 million ,None,0,No,,
224,Staff Data Scientist - Pricing,71.00,123.00,3.6,"Opendoor
",San Francisco, CA,San Francisco, CA,501 to 1000 ,2014,Company - Private,Real Estate,Real Estate,$2 to $5 billion ,None,0,No,,
225,Data Scientist,71.00,123.00,4.5,"Global Data Management Inc
",Hartford, CT,Woodbridge, NJ,51 to 200 ,2008,Company - Private,IT Services,Information Technology,$5 to $10 million ,None,0,No,,
226,Data Scientist,71.00,123.00,3,"Photon Infotech
",Chicago, IL,Chennai, India,1001 to 5000 ,1999,Company - Private,IT Services,Information Technology,$100 to $500 million ,None,0,No,,
227,Data Scientist,71.00,123.00,5,"REE
",United States,,Tel Aviv-Yafo, Israel,51 to 200 ,2018,Company - Private,Transportation Equipment Manufacturing,Manufacturing,Unknown,None,0,No,,
228,Machine Learning Engineer,71.00,123.00,3.6,"Riverside Research Institute
",Beavercreek, OH,Arlington, VA,501 to 1000 ,1967,Nonprofit Organization,Federal Agencies,Government,$50 to $100 million ,None,0,Yes,,
229,Equity Data Insights Analyst - Quantitative Analyst,71.00,123.00,3.6,"T. Rowe Price
",Baltimore, MD,Baltimore, MD,5001 to 10000 ,1937,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion ,None,0,No,,
230,Data Scientist,71.00,123.00,Unknown,"Encode, I",Norfolk, VA,Manalapan, NJ,1 to 50 ,Unknown,Company - Private,IT Services,Information Technology,$5 to $10 million ,None,0,No,,
231,Research Scientist - Patient-Centered Research,71.00,123.00,3.8,"Evidera
",Bethesda, MD,Bethesda, MD,501 to 1000 ,2013,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million ,"IQVIA, ICON",2,No,,
232,Data Scientist,71.00,123.00,3.3,"BWX Technologies
",Oak Ridge, TN,Lynchburg, VA,5001 to 10000 ,1850,Company - Public,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion ,None,0,No,,
233,Operations Data Analyst,71.00,123.00,3.8,"Brighthouse Financial
",Charlotte, NC,Charlotte, NC,1001 to 5000 ,2017,Company - Public,Insurance Carriers,Insurance,Unknown,None,0,No,,
234,Sr. Data Scientist Ii,71.00,123.00,3.5,"Argo Group US
",New York, NY,Hamilton, Bermuda,1001 to 5000 ,1948,Company - Public,Insurance Carriers,Insurance,$1 to $2 billion ,None,0,No,,
235,Data Scientist,71.00,123.00,3.3,"II-VI Incorporated
",Champaign, IL,Saxonburg, PA,10000+ ,1971,Company - Public,Telecommunications Manufacturing,Telecommunications,$1 to $2 billion ,"Lumentum Operations, Keysight Technologies, O-Net Technologies",6,No,,
236,Data Scientist,71.00,123.00,4.6,"Surya Systems
",San Francisco, CA,Bristol, PA,1 to 50 ,Unknown,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million ,None,0,No,,
237,Data Scientist,71.00,123.00,3.8,"PayPal
",Texas,,San Jose, CA,10000+ ,1998,Company - Public,Internet,Information Technology,$10+ billion ,"Square, Amazon, Apple",3,No,,
238,Senior Data Analyst,71.00,123.00,3.9,"Life360
",San Francisco, CA,San Francisco, CA,51 to 200 ,2008,Company - Public,Internet,Information Technology,Unknown,None,0,No,,
239,Data Scientist,71.00,123.00,3.9,"Predictive Research Inc
",Plano, TX,Bangalore, India,1 to 50 ,Unknown,Company - Private,Consulting,Business Services,Unknown,None,0,No,,
240,Data Scientist,90.00,124.00,4.7,"Oversight Systems
",Atlanta, GA,Atlanta, GA,51 to 200 ,2003,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million ,None,0,No,,
241,Senior Research Statistician- Data Scientist,90.00,124.00,4.8,"Acuity Insurance
",Sheboygan, WI,Sheboygan, WI,1001 to 5000 ,1925,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion ,None,0,No,,
242,Software Data Engineer,90.00,124.00,3.1,"1010data
",New York, NY,New York, NY,201 to 500 ,2000,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million ,None,0,No,,
243,Data Scientist,90.00,124.00,3.6,"Gigya
",Palo Alto, CA,Mountain View, CA,201 to 500 ,2006,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million ,None,0,No,,
244,Real World Evidence (Rwe) Scientist,90.00,124.00,5,"Genesis Research
",Hoboken, NJ,Hoboken, NJ,1 to 50 ,2009,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown,None,0,No,,
245,Data Scientist,90.00,124.00,3.7,"Sanofi
",Cambridge, MA,Paris, France,10000+ ,1973,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion ,"Pfizer, GlaxoSmithKline",2,No,,
246,Data Scientist,90.00,124.00,3.7,"XPO Logistics
",Lebanon, IN,Greenwich, CT,10000+ ,2011,Company - Public,Transportation Management,Transportation & Logistics,$10+ billion ,"DHL Supply Chain, UPS, FedEx",5,No,,
247,Data Scientist,90.00,124.00,3.9,"Trace Data
",Oakland, CA,Santa Ana, CA,51 to 200 ,2000,Company - Private,Insurance Carriers,Insurance,$10 to $25 million ,None,0,No,,
248,Data Scientist,90.00,124.00,4.3,"Descript
",San Francisco, CA,Houston, TX,1 to 50 ,Unknown,Company - Private,Unknown,Unknown,Less than $1 million ,None,0,No,,
249,Computer Scientist 1,90.00,124.00,4.2,"Rincon Research Corporation
",Melbourne, FL,Tucson, AZ,201 to 500 ,1983,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million ,"Raytheon Technologies, General Dynamics, MIT Lincoln Laboratory",7,No,,
250,Lead Data Scientist,90.00,124.00,3.7,"MassMutual
",Boston, MA,Springfield, MA,5001 to 10000 ,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion ,None,0,No,,
251,Data Scientist,90.00,124.00,4,"Better Hire
",Birmingham, AL,Birmingham, AL,1 to 50 ,Unknown,Company - Private,Unknown,Unknown,Unknown,None,0,No,,
